Profession,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Системный администратор,897,898,868,899,768,801,921,910,898,1017,967,765
SMM-менеджер,437,391,389,408,354,321,371,382,393,424,375,265
Интернет-маркетолог,442,378,376,327,304,317,331,339,327,420,349,252
Графический дизайнер,281,245,289,311,272,247,281,313,359,379,298,198
Контент-менеджер,317,331,319,300,270,272,311,312,300,333,298,194
Оператор ПК,213,241,219,296,272,260,262,310,236,254,196,171
Аналитик,217,201,197,225,207,224,254,229,260,253,231,167
Оператор 1С,153,129,159,176,174,196,216,211,170,198,194,149
Системный аналитик,121,104,122,148,158,127,169,156,160,187,184,146
Frontend-разработчик,157,169,145,156,134,157,167,188,171,174,169,141
Сервисный инженер,186,159,165,163,169,145,203,186,170,209,189,127
Программист 1C,207,208,220,200,189,170,196,162,203,185,189,124
Инженер-программист,133,132,144,151,134,124,159,148,147,150,149,115
Инженер технической поддержки,120,110,111,104,111,124,129,140,136,132,125,108
Оператор 1C,177,177,166,195,203,197,237,194,185,182,164,106
Менеджер интернет-магазина,185,159,183,173,173,158,203,181,193,185,170,95
Категорийный менеджер,125,111,103,118,98,100,117,120,104,122,101,92
SEO-специалист,148,125,138,123,115,98,117,119,139,134,107,83
Программист,156,151,131,136,133,94,116,115,119,113,113,81
Менеджер по рекламе,130,113,109,129,118,115,94,103,104,124,109,80
Java-разработчик,87,91,94,97,89,75,116,98,103,111,110,79
Копирайтер,152,115,140,139,126,118,129,142,152,140,133,73
Web-разработчик,94,93,87,86,69,76,75,86,87,90,86,63
Web-программист,110,98,96,99,76,89,88,82,76,83,72,63
IOS разработчик,70,73,70,68,62,66,69,84,80,66,74,62
Технический писатель,65,60,74,70,56,74,71,86,72,98,85,61
Тестировщик ПО,66,58,59,56,61,45,56,58,57,63,79,58
Технический директор,68,66,63,69,53,54,68,65,63,73,66,56
Дизайнер-консультант,80,62,84,77,83,77,74,77,71,74,51,53
Технический специалист,77,70,74,66,61,59,81,78,74,78,68,53
Программист-разработчик,74,64,76,54,64,51,59,60,52,67,63,50
PHP-разработчик,77,87,89,105,80,88,97,91,82,72,76,50
PR-менеджер,76,69,71,96,50,70,77,77,88,80,70,49
Web-дизайнер,88,92,77,96,81,83,103,80,86,80,76,49
QA Engineer,45,38,42,35,37,46,51,46,40,82,56,47
Помощник системного администратора,58,70,59,44,42,63,50,52,58,58,53,44
Специалист по контекстной рекламе,80,87,99,78,68,65,95,68,80,87,59,44
Оператор видеонаблюдения,44,39,46,52,63,44,60,49,53,47,48,43
Таргетолог,34,42,36,47,49,33,43,59,51,77,52,41
Специалист по информационной безопасности,49,44,42,52,41,36,43,54,37,55,38,40
Android разработчик,57,52,45,43,37,49,46,44,49,47,42,39
PHP-программист,102,79,60,95,79,65,75,77,80,72,51,38
Специалист по IT,62,45,45,36,39,37,50,33,41,48,52,36
HTML-верстальщик,42,48,52,52,49,52,53,60,47,42,53,34
Веб-дизайнер,59,61,50,45,36,46,58,54,51,60,44,33
Тестировщик,37,46,45,52,50,46,56,64,68,71,55,33
Оператор базы данных,57,43,45,34,48,44,43,51,31,54,30,33
Консультант 1С,32,56,46,41,48,34,37,53,37,67,51,31
Аккаунт-менеджер,53,42,49,49,41,44,54,42,52,50,41,31
Телемаркетолог,67,59,47,66,44,37,44,59,47,48,45,31
Системный администратор Linux,56,33,42,42,46,38,36,38,50,48,53,31
Дизайнер-верстальщик,75,77,78,90,73,66,61,75,94,69,57,30
Сетевой инженер,27,26,31,25,21,25,22,19,44,34,42,30
Ведущий системный администратор,32,31,32,29,29,30,36,35,30,48,36,29
SMM-специалист,52,31,48,42,31,38,37,42,36,45,34,28
DevOps инженер,14,29,25,27,31,17,41,33,40,44,43,28
Системный инженер,21,28,26,22,16,22,25,25,22,28,24,28
Сервис-менеджер,32,32,35,33,36,29,34,27,27,34,28,27
Frontend разработчик,19,18,19,13,17,11,17,20,21,26,18,27
Веб-разработчик,36,36,41,41,35,39,36,29,28,45,22,26
Ведущий программист 1С,34,38,36,40,36,30,47,38,38,41,37,25
DevOps Engineer,28,29,43,30,24,37,54,32,43,65,49,25
Специалист службы технической поддержки,26,23,20,28,21,25,35,24,27,32,34,25
Java разработчик,22,31,30,19,13,14,17,14,25,24,27,23
Ведущий аналитик,21,30,28,26,29,25,25,20,26,26,26,22
Трейд-маркетолог,39,45,40,36,32,51,42,33,41,42,37,22
Инженер-программист АСУ ТП,28,20,19,24,19,17,19,27,30,34,36,22
Инженер по тестированию,13,18,24,16,24,15,27,12,8,22,16,21
Специалист сервисного центра,25,22,15,26,12,14,23,18,18,12,35,21
SMM специалист,16,13,17,14,20,8,16,11,21,31,25,21
Руководитель интернет-магазина,32,28,28,23,19,24,23,21,22,25,21,21
Java Developer,26,29,22,31,19,29,27,31,33,47,34,21
Аналитик 1С,20,15,19,20,15,15,20,24,15,19,30,20
Оператор интернет-магазина,27,32,20,25,28,27,28,37,30,29,25,20
Программист Python,24,25,25,26,18,18,34,27,29,31,28,20
Frontend Developer,20,18,21,17,16,19,16,21,20,29,17,20
Ведущий инженер-программист,31,22,26,21,25,26,18,24,24,36,25,19
Product Owner,15,13,13,17,10,3,12,16,15,21,13,19
Front-end разработчик,23,28,33,25,26,23,40,19,18,31,39,19
Frontend developer,19,20,14,17,17,17,23,24,15,26,24,19
Data Scientist,22,28,22,25,25,18,27,26,26,33,23,19
Senior Java Developer,27,28,35,30,11,16,26,20,21,24,26,18
IT рекрутер,8,13,20,17,11,16,7,19,20,14,13,18
Аналитик данных,6,5,8,16,17,16,14,20,20,16,22,18
Business Analyst,16,20,13,23,25,22,18,19,23,26,22,18
Разработчик 1С,24,17,25,25,23,29,22,26,28,32,24,18
Администратор баз данных,16,16,20,15,26,19,19,27,19,22,20,18
Верстальщик,38,28,21,28,26,16,23,27,18,35,25,17
Программист С++,30,30,31,26,31,24,41,26,34,28,28,17
IT-специалист,38,32,33,36,32,39,34,35,27,44,31,17
QA engineer,16,19,11,22,11,13,14,28,12,22,24,17
Product manager,32,20,29,35,26,22,31,25,34,34,39,17
Старший программист 1С,12,8,15,12,11,13,16,15,9,9,14,17
Старший системный администратор,23,26,26,22,22,29,34,38,25,34,24,17
Разработчик Python,10,10,12,9,11,8,16,19,21,22,12,16
Специалист по защите информации,16,15,13,18,16,8,16,14,15,20,17,16
Разработчик,10,6,13,13,11,12,10,12,13,13,15,16
Видеооператор,31,16,23,28,22,29,11,23,17,20,22,16
Программист PHP,54,53,51,46,32,25,38,39,45,52,41,16
Специалист отдела технической поддержки,17,15,7,20,11,18,11,18,12,13,14,16
Начальник отдела информационных технологий,7,10,21,18,14,7,13,10,15,11,14,16
SEO-оптимизатор,17,33,28,24,20,15,24,31,24,19,20,15
Руководитель IT проектов,19,16,16,13,12,18,21,18,19,25,22,15
Администратор интернет-магазина,27,23,21,16,11,14,15,27,18,14,26,15
Key Account Manager,16,20,24,8,14,15,18,24,14,19,13,15
Android Developer,23,22,24,13,21,24,26,23,16,27,20,15
Инженер АСУТП,15,9,17,10,17,8,7,11,20,25,15,15
Java developer,26,14,14,16,14,12,19,19,14,26,30,15
DevOps-инженер,6,7,8,6,4,7,13,15,13,18,16,15
Консультант 1C,17,16,15,21,19,10,19,12,14,21,10,15
Data Engineer,16,11,13,18,15,14,15,14,13,18,16,15
Менеджер интернет-проектов,27,24,18,21,18,17,12,22,27,17,16,15
Python Developer,13,12,18,18,13,12,18,16,17,22,19,15
3D-дизайнер,12,15,8,11,8,9,16,9,13,7,17,14
UX/UI дизайнер,13,12,18,18,13,10,16,12,14,18,29,14
Младший системный администратор,24,17,23,19,15,21,20,16,22,30,20,14
Оператор технической поддержки,12,10,14,11,10,17,15,14,15,15,21,14
Специалист по технической поддержке,12,20,12,7,9,14,12,11,16,16,20,14
Python разработчик,15,8,8,11,4,15,10,8,17,25,19,14
Программист 1C 8,8,14,12,16,10,12,9,15,12,15,12,14
Backend разработчик,7,8,7,10,14,12,11,9,18,17,13,14
Макетчик,4,12,16,9,13,15,16,16,21,14,11,13
Сервис-инженер,17,7,13,15,8,11,14,10,10,14,6,13
QA Automation Engineer,22,22,22,22,18,13,22,20,20,27,13,13
Ведущий программист 1C,22,22,21,18,17,18,21,20,26,22,21,13
Специалист технической поддержки 1С,10,4,9,4,11,6,8,12,12,11,9,13
Инженер-программист 1С,19,22,26,12,18,13,21,15,14,18,16,13
Инженер сервисной службы,17,9,20,16,12,19,10,16,15,20,13,13
Аккаунт менеджер,19,14,11,16,18,13,13,11,18,20,13,13
Account Manager,9,16,12,12,12,11,14,18,13,15,16,13
Дизайнер-визуализатор,18,24,12,24,21,15,17,20,11,20,11,13
Стажер-программист 1С,47,24,14,22,17,12,20,22,12,21,12,13
Оператор информационной базы,23,23,39,25,28,23,30,35,23,35,14,12
Учитель информатики,5,8,6,9,15,22,15,31,13,16,14,12
Оператор ЭВМ,16,23,16,14,24,15,21,18,28,21,22,12
Сетевой администратор,16,11,11,15,8,19,21,10,19,14,14,12
Менеджер по продажам интернет-магазина,6,7,9,7,8,6,11,10,11,6,9,12
Разработчик SQL,10,10,12,12,6,6,9,13,10,11,8,12
Специалист по тестированию,22,19,20,14,16,16,33,12,13,21,20,12
PHP Developer,16,12,20,20,18,16,29,20,20,26,23,12
Инженер связи,20,13,21,25,12,16,28,23,20,26,13,12
Дизайнер-художник,3,5,5,9,4,7,14,7,9,5,5,11
Веб-программист,27,36,32,35,22,31,34,32,28,21,18,11
Руководитель сервисной службы,9,13,8,21,10,14,9,10,6,10,11,11
Сервисный консультант,12,7,3,10,11,10,8,13,4,12,11,11
Аналитик-маркетолог,9,15,13,12,13,13,15,15,11,24,23,11
Android-разработчик,10,17,14,7,11,11,20,13,17,24,16,11
Инженер-тестировщик,11,11,11,9,12,12,6,8,9,10,15,11
IT-менеджер,9,13,8,13,7,7,12,7,6,9,5,10
2D-художник,11,12,15,7,11,1,11,8,7,8,11,10
Account manager,7,8,16,19,11,17,14,11,16,11,21,10
Back-end разработчик,13,10,9,11,7,11,10,10,8,12,9,10
Разработчик PL/SQL,4,5,8,3,4,5,7,10,7,4,2,10
Консультант-аналитик 1С,8,4,9,5,5,4,6,7,6,8,7,10
Оператор связи,18,17,10,9,8,4,10,11,8,12,4,10
Специалист IT отдела,18,18,19,17,17,18,15,17,26,18,17,10
Тестировщик программного обеспечения,12,8,8,10,6,11,12,12,18,9,7,10
DevOps engineer,11,11,11,12,15,8,14,14,11,16,19,10
Senior PHP Developer,12,6,12,11,10,7,14,11,7,12,12,10
Программист Java,23,25,19,23,19,8,21,16,23,23,18,10
Креативный дизайнер,21,16,20,12,7,12,8,17,14,13,14,10
Ведущий специалист по информационной безопасности,8,13,9,13,9,5,11,8,7,9,14,10
Видеомонтажер,24,16,15,12,25,19,21,13,16,21,22,10
Видеограф,4,2,8,6,4,6,11,10,6,7,8,9
Руководитель IT-отдела,10,8,10,7,8,9,8,12,7,15,10,9
Программист-консультант 1C,10,16,12,11,5,9,7,7,13,9,6,9
Ведущий бизнес-аналитик,6,9,11,12,9,8,13,12,11,12,14,9
Разработчик Java,16,13,9,12,10,8,16,18,16,8,12,9
UI/UX дизайнер,17,17,15,17,15,22,16,12,11,23,15,9
Оператор ПЭВМ,3,7,4,4,4,6,6,5,4,5,6,9
Специалист по тестированию ПО,10,9,8,12,16,13,15,11,16,10,11,9
IOS developer,13,9,8,10,11,11,13,23,13,19,15,9
IT-рекрутер,10,11,11,7,6,10,10,14,8,16,8,9
Senior QA Engineer,8,11,6,9,10,9,12,12,10,7,7,9
Специалист технического отдела,7,6,6,6,6,9,6,11,11,8,6,9
Motion Designer,8,8,8,8,11,6,12,11,5,9,14,9
PHP developer,15,5,5,12,11,12,11,12,17,10,19,9
Системный администратор Windows,16,7,7,13,6,10,17,14,16,13,18,9
IT Рекрутер,5,8,4,12,8,3,5,12,5,2,11,9
Unity Developer,5,14,5,1,5,6,7,10,11,10,5,9
IT Recruiter,13,10,13,8,17,10,21,11,20,15,16,9
QA automation engineer,4,4,5,5,8,5,6,4,5,5,7,8
Дизайнер-проектировщик,6,7,8,8,9,5,4,7,5,12,5,8
IOS Developer,21,15,7,22,9,13,20,18,22,13,12,8
PHP программист,14,11,12,17,14,8,11,19,12,11,12,8
Front-end Developer,11,8,14,18,8,7,17,12,11,16,13,8
Инженер по информационной безопасности,12,14,10,9,6,7,16,12,15,12,10,8
Middle QA Engineer,3,7,8,9,9,7,11,5,3,7,6,8
Программист SQL,15,16,16,16,7,9,6,13,7,18,14,8
Java-программист,14,13,9,10,18,10,10,12,14,13,8,8
QA инженер,6,10,7,4,5,7,6,11,6,13,8,8
Художник-дизайнер,15,8,17,14,15,11,11,10,14,17,11,8
Редактор сайта,13,10,15,14,10,9,8,9,12,7,10,8
UX/UI Designer,5,8,4,3,11,6,9,8,6,8,8,8
Фотограф-дизайнер,11,8,12,13,4,17,10,12,14,13,9,8
Оператор ввода данных,4,11,6,9,9,10,6,9,7,10,4,8
Администратор сайта,22,27,24,25,16,20,21,24,24,22,23,8
Администратор 1С,9,4,7,12,6,3,7,6,11,14,7,8
Backend-разработчик,14,23,12,5,10,16,14,19,16,21,21,8
Помощник SEO-специалиста,15,15,9,7,13,7,14,9,12,6,10,8
Frontend-разработчик (Angular),8,3,6,6,2,3,4,9,6,7,9,8
Специалист 1С,14,9,13,14,2,11,12,9,13,14,9,8
Backend Developer,7,5,8,5,5,6,4,6,8,5,7,7
JavaScript разработчик,8,6,8,8,10,7,9,12,13,8,10,7
Front-end developer,3,8,5,11,7,10,8,3,6,10,8,7
