Специальность,Изменение
SMM специалист,93.75
Тестировщик,91.89
Программист 1C 8,87.5
Веб-аналитик,87.5
Game Designer,85.71
Инспектор службы безопасности,85.71
Web-аналитик,85.71
QA Engineer,82.22
Java Developer,80.77
Руководитель отдела IT,80.0
Senior PHP developer,75.0
Программист 1С-Битрикс,75.0
Senior DevOps Engineer,75.0
Senior Android Developer,75.0
IT рекрутер,75.0
Golang разработчик,75.0
Программист 1с,75.0
Видеограф,75.0
Python Developer,69.23
Инженер по тестированию,69.23
СММ-менеджер,66.67
Инженер АСУТП,66.67
Преподаватель робототехники,66.67
Мастер по ремонту компьютеров,66.67
C++ Developer,66.67
Python разработчик,66.67
Дизайнер-художник,66.67
Account Manager,66.67
Оператор ПЭВМ,66.67
Технический дизайнер,62.5
Business Analyst,62.5
PHP Developer,62.5
IT-рекрутер,60.0
Инженер DevOps,60.0
UX/UI Designer,60.0
Менеджер по продажам в интернет магазин,60.0
Менеджер интернет магазина,60.0
Ведущий разработчик 1С,60.0
Специалист по контекстной и таргетированной рекламе,60.0
Account manager,57.14
Начальник отдела информационных технологий,57.14
Администратор 1С,55.56
Руководитель ИТ-проектов,54.55
Системный аналитик,54.55
Оператор информационной базы,52.17
Технический писатель,50.77
Ведущий системный администратор,50.0
Руководитель IT-отдела,50.0
Manual QA Engineer,50.0
Data Scientist,50.0
Backend-разработчик,50.0
Ведущий инженер-программист 1С,50.0
IOS-разработчик,50.0
Scrum Master,50.0
Senior Frontend Developer,50.0
User Acquisition Manager,50.0
E-mail маркетолог,50.0
3D визуализатор,50.0
Старший системный администратор,47.83
IOS developer,46.15
Front-end Developer,45.45
DevOps engineer,45.45
Frontend Developer,45.0
Разработчик PHP,42.86
Senior Python Developer,42.86
Менеджер по работе с блогерами,40.0
Product Owner,40.0
Архитектор 1С,40.0
UX/UI дизайнер,38.46
QA engineer,37.5
Администратор баз данных,37.5
IT-инженер,37.5
Frontend разработчик,36.84
Frontend developer,36.84
UI/UX дизайнер,35.29
Графический дизайнер,34.88
Front-end разработчик,34.78
Курьер в интернет-магазин,33.33
Руководитель интернет-проектов,33.33
Техник-программист,33.33
Инженер по системам безопасности,33.33
Разработчик 1С,33.33
Full stack разработчик,33.33
Python-разработчик,33.33
Системный инженер,33.33
Помощник SEO-оптимизатора,33.33
Специалист по технической поддержке,33.33
Руководитель IT проектов,31.58
Оператор ЭВМ,31.25
Младший аналитик,30.0
Разработчик,30.0
Инженер связи,30.0
Менеджер интернет-проекта,30.0
Оператор 1С,29.41
Программист Python,29.17
Java-разработчик,27.59
Сетевой инженер,25.93
Специалист по защите информации,25.0
Инженер-разработчик,25.0
Веб-разработчик,25.0
Digital marketing manager,25.0
Программист 1С 8.3,25.0
Контент-редактор,25.0
Оператор технической поддержки,25.0
QA automation engineer,25.0
Заместитель технического директора,25.0
Senior iOS Developer,25.0
Младший системный администратор,25.0
Ведущий аналитик,23.81
Консультант 1C,23.53
Специалист службы технической поддержки,23.08
Android developer,23.08
QA Automation Engineer,22.73
PHP разработчик,22.22
Инженер-программист АСУ ТП,21.43
Ведущий программист 1С,20.59
Программист SQL,20.0
Программист ASP.NET,20.0
Программист-стажер,20.0
IT директор,20.0
Программист 1С ERP,20.0
Оператор ПК,19.25
Key Account Manager,18.75
Фотограф-дизайнер,18.18
Инженер сервисной службы,17.65
Android Developer,17.39
Инженер проекта,16.67
Разработчик С++,16.67
Аналитик,16.59
Ведущий инженер-программист,16.13
IT-специалист,15.79
IT Recruiter,15.38
Программист Delphi,15.38
Специалист технического отдела,14.29
Младший системный аналитик,14.29
Программист-стажер 1C,14.29
Младший программист 1С,14.29
Системный администратор,13.38
Художник-дизайнер,13.33
Инженер-программист,12.78
Motion Designer,12.5
Data Engineer,12.5
Ведущий специалист по информационной безопасности,12.5
.Net разработчик,12.5
Сервисный инженер,12.37
Специалист по информационной безопасности,12.24
SEO-оптимизатор,11.76
Менеджер по контекстной рекламе,11.11
Дизайнер-визуализатор,11.11
Руководитель сервисной службы,11.11
Гейм-дизайнер,11.11
Frontend-разработчик,10.83
Data scientist,10.0
Разработчик SQL,10.0
Инженер технической поддержки,10.0
Специалист технической поддержки 1С,10.0
ИТ-специалист,9.09
Java разработчик,9.09
Специалист по контекстной рекламе,8.75
Старший аналитик,8.33
Инженер технического отдела,8.33
Трейд-маркетолог,7.69
Оператор интернет-магазина,7.41
Технический директор,7.35
Оператор видеонаблюдения,6.82
Инженер-проектировщик ОВ,6.67
Python developer,6.67
Product manager,6.25
Сервис-менеджер,6.25
