Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Системный администратор,40,32,33,42,29,27,43,35,34,38,38,36
Интернет-маркетолог,15,16,14,15,11,13,16,17,13,18,15,14
Web-программист,18,16,12,20,17,18,23,21,21,17,18,24
Frontend-разработчик,12,11,13,13,13,10,14,13,11,9,15,12
Инженер-программист,15,14,11,16,16,10,17,16,16,12,14,17
Оператор ПК,9,7,11,10,9,9,11,8,13,16,13,13
Аналитик,7,5,5,8,7,8,8,6,9,9,6,9
Тестировщик ПО,9,11,10,11,6,8,12,13,15,12,13,16
SMM-менеджер,9,9,6,8,4,5,7,7,9,6,3,8
Инженер технической поддержки,8,4,10,8,9,8,9,5,10,7,12,11
Технический директор,5,2,3,5,3,4,6,3,3,3,4,4
Контент-менеджер,3,7,4,3,6,4,2,6,8,8,3,7
Менеджер по рекламе,5,3,8,5,7,5,6,4,8,6,9,9
Системный аналитик,6,7,7,7,9,8,8,10,10,17,11,12
Java-разработчик,8,5,2,8,6,5,8,6,6,4,3,6
Дизайнер-консультант,1,2,2,0,1,2,0,2,1,0,1,0
SEO-специалист,8,7,5,8,4,2,9,7,6,6,6,7
Python-разработчик,5,4,4,5,1,2,5,4,4,3,5,5
Инженер связи,0,1,3,0,1,2,0,1,0,3,4,1
Android разработчик,3,5,3,4,3,3,5,6,5,4,5,6
Разработчик 1С,7,8,10,7,3,5,7,8,10,9,9,9
Сервисный инженер,4,3,3,4,7,5,4,3,4,1,3,4
IT рекрутер,0,1,1,0,2,2,1,1,2,0,1,2
Трейд-маркетолог,2,2,3,3,1,3,3,3,2,3,4,3
Менеджер интернет-магазина,4,4,3,4,3,4,4,4,6,6,4,6
Ведущий аналитик,1,2,2,2,2,2,2,3,3,4,3,3
Сервис-инженер,0,1,0,0,1,1,0,1,1,0,0,1
Оператор 1С,2,3,4,2,5,3,2,3,3,3,5,3
PR-менеджер,1,0,0,0,0,2,0,0,1,0,0,1
IOS разработчик,2,1,0,2,0,3,2,1,0,0,0,0
Категорийный менеджер,3,2,0,2,4,1,2,1,0,0,0,0
Копирайтер,6,5,3,6,3,3,7,7,8,6,5,9
Специалист по защите информации,0,0,0,0,1,0,0,0,1,0,0,1
Разработчик BI,1,1,1,1,1,1,2,2,2,2,2,2
Технический писатель,1,3,3,2,1,1,2,4,3,4,5,4
Оператор базы данных,0,0,1,0,0,0,0,0,0,1,0,0
Программист SQL,2,2,0,2,1,1,3,2,2,1,1,2
Программист С++,2,2,4,2,1,2,2,3,1,1,5,1
Специалист по информационной безопасности,4,4,3,4,5,2,5,6,5,7,4,6
Разработчик мобильных приложений,0,0,0,0,0,0,0,0,1,1,0,2
Телемаркетолог,1,1,1,1,2,1,1,1,1,0,1,1
Старший аналитик,0,0,1,0,0,1,0,1,1,2,2,1
Специалист 1С,4,6,1,4,2,1,3,6,2,0,0,2
Специалист по IT,2,2,5,2,5,1,2,2,4,0,5,4
Руководитель технического отдела,0,0,0,0,0,0,0,0,0,0,0,0
Художник-дизайнер,0,0,0,0,0,1,0,0,0,1,0,0
Team Lead,0,0,0,0,0,0,0,0,0,0,0,0
PHP-разработчик,10,5,5,10,6,4,10,5,7,1,5,7
Data Scientist,3,1,0,3,2,1,3,1,1,0,0,1
Product Owner,0,0,0,0,0,1,0,1,1,1,1,1
Специалист по внедрению и сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Full-stack разработчик,2,2,2,3,2,1,3,3,3,2,3,3
Game Designer,0,0,0,0,0,0,0,0,0,0,0,0
Java разработчик,0,0,0,0,0,0,0,0,0,0,0,0
JavaScript Developer,0,0,0,0,0,0,0,0,0,0,0,0
Сервис-менеджер,0,1,0,0,1,0,0,1,0,0,0,0
Digital Marketing Manager,0,0,0,0,0,0,0,0,0,0,0,0
Product manager,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель сервисной службы,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель IT проектов,0,0,0,0,1,0,0,0,0,0,0,0
Scrum Master,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик баз данных,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик Oracle,0,0,1,0,1,0,0,0,1,1,1,1
E-mail маркетолог,0,0,0,0,0,0,0,0,0,0,0,0
Инженер АСУТП,0,0,0,0,0,0,0,0,0,0,0,0
Инженер по техническому обслуживанию,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по сбору информации,0,0,0,0,1,0,0,1,0,0,0,1
Специалист по сопровождению ПО,0,0,0,0,0,0,0,0,1,0,0,1
Специалист по тестированию ПО,0,0,0,0,0,0,0,0,1,0,0,1
Специалист сервисного центра,1,0,1,1,0,0,1,1,2,0,1,2
DevOps Engineer,6,5,3,7,5,2,8,7,6,6,6,7
Copywriter,0,0,0,0,0,0,0,0,0,0,0,0
Технический дизайнер,1,0,0,1,0,0,1,1,0,1,0,1
Business Analyst,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,1,0,0,0,0,0,0,0,0,0,0,0
Технический специалист,1,1,1,1,1,0,1,1,0,3,0,0
Технический эксперт,1,0,0,1,0,0,1,0,0,0,0,0
3D-дизайнер,0,0,0,0,0,0,0,0,0,1,0,0
Учитель информатики,0,0,0,0,0,0,0,0,0,0,0,0
Фотограф-дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по обработке данных,0,0,0,0,0,0,1,0,0,0,0,0
UI/UX дизайнер,2,2,1,2,1,1,3,2,1,2,2,2
Программист-стажер,0,0,0,0,0,0,0,0,0,0,0,0
Инженер-программист микроконтроллеров,0,0,0,0,0,0,1,0,0,1,0,0
Дизайнер-визуализатор,0,0,0,0,0,0,0,0,0,0,0,0
Консультант SAP,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер-проектировщик,0,0,0,0,0,0,1,0,0,0,0,0
2D-художник,0,0,0,0,0,0,0,0,0,0,0,0
