Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Системный администратор,24,26,18,25,30,26,26,28,27,19,21,28
Web-программист,14,12,5,11,14,13,8,6,6,5,0,3
SMM-менеджер,14,14,25,15,12,13,16,16,19,17,27,20
Интернет-маркетолог,21,13,12,21,13,10,22,13,15,21,13,15
Frontend-разработчик,4,6,4,4,6,7,4,7,2,3,4,2
Специалист 1С,12,5,9,12,9,5,13,5,5,7,9,5
Разработчик 1С,11,11,10,11,21,4,10,11,12,7,10,12
Специалист по IT,4,2,0,4,3,3,4,2,3,6,0,3
Оператор ПК,4,4,8,4,6,4,3,3,4,9,6,3
Инженер технической поддержки,4,6,2,4,5,4,5,7,8,8,3,8
Аналитик,5,1,4,4,1,2,4,0,2,0,2,2
Менеджер интернет-магазина,5,2,1,5,1,5,5,2,2,1,1,2
Контент-менеджер,7,6,4,6,7,4,5,5,0,4,3,0
Android разработчик,2,1,2,2,0,2,2,1,1,1,2,1
Оператор базы данных,1,0,3,1,0,1,1,0,0,0,3,0
Оператор 1С,4,3,2,4,3,1,3,2,3,2,1,2
Инженер-программист,3,4,1,3,3,3,2,3,6,4,0,6
SEO-специалист,4,0,0,3,0,1,1,0,0,0,0,0
Системный аналитик,5,6,4,6,4,5,6,7,5,7,6,5
Креативный дизайнер,1,1,0,1,0,1,1,2,1,1,1,1
Трейд-маркетолог,0,0,0,0,0,0,0,0,0,0,0,0
PHP-разработчик,2,4,1,2,3,4,1,3,4,4,0,4
Программист SQL,1,0,1,1,1,1,1,1,1,1,2,1
Java-разработчик,6,6,4,7,8,5,8,8,11,7,7,12
Категорийный менеджер,2,1,4,2,1,1,2,1,1,0,3,0
Видеооператор,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер-консультант,0,0,0,0,0,0,0,0,0,0,0,0
Сервис-менеджер,0,0,1,0,0,0,0,0,1,0,1,1
Специалист по информационной безопасности,0,0,1,0,0,0,0,0,1,0,1,1
Видеомонтажер,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик-маркетолог,0,0,0,0,0,0,0,0,0,0,0,0
Арт-менеджер,0,0,1,0,1,1,1,0,0,0,1,0
UI/UX дизайнер,0,0,2,0,0,1,0,0,1,1,2,1
Копирайтер,4,1,1,3,7,0,3,0,3,0,0,2
Разработчик Oracle,0,0,0,0,1,1,0,0,1,3,0,1
Руководитель технического отдела,0,0,0,1,0,0,1,0,0,2,1,1
Специалист технического отдела,0,0,1,0,0,0,0,0,0,0,0,0
Тестировщик ПО,5,7,10,6,5,4,7,9,8,8,13,9
Менеджер по рекламе,2,2,1,2,2,1,2,1,2,2,0,2
IOS разработчик,1,0,1,0,0,0,0,0,0,0,1,0
DevOps Engineer,0,1,0,0,1,0,0,1,1,1,0,1
Оператор видеонаблюдения,0,1,3,0,3,1,0,1,1,0,3,1
3D-дизайнер,2,2,0,2,1,2,2,3,2,2,1,2
Python-разработчик,1,1,1,2,1,1,2,2,3,2,2,3
.NET Developer,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик баз данных,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель IT проектов,0,0,0,0,0,0,0,0,0,2,0,0
Программист-стажер,0,0,1,0,0,0,0,0,0,0,1,0
Программист С++,1,0,0,1,0,0,1,0,0,0,0,0
Разработчик мобильных приложений,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по защите информации,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель сервисной службы,0,0,0,0,0,0,0,0,0,0,0,0
Технический дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Фотограф-дизайнер,0,1,0,1,2,0,1,1,1,0,0,1
Учитель информатики,0,0,0,0,0,0,0,0,1,0,0,1
Технический эксперт,0,0,1,0,0,0,0,0,0,0,1,0
Технический специалист,1,3,1,1,1,1,2,4,2,1,2,2
Технический писатель,0,0,0,0,0,0,0,0,0,0,0,0
Технический менеджер,0,0,0,0,0,0,0,1,0,0,0,1
Технический директор,0,0,0,0,0,0,0,0,0,0,0,0
Телемаркетолог,1,1,1,1,0,0,1,1,2,2,1,2
Сервисный инженер,2,2,4,2,2,3,3,3,4,6,5,5
Старший аналитик,0,0,0,0,0,0,0,0,0,0,0,0
Специалист сервисного центра,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по тестированию ПО,0,0,0,0,0,0,0,0,0,1,0,0
Специалист по сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по контекстной рекламе / Директолог,0,0,0,0,1,0,0,0,0,0,0,0
Преподаватель информатики,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по внедрению и сопровождению ПО,0,0,1,0,0,0,0,1,1,0,1,2
