Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
.NET Developer,9,8,8,9,7,8,10,9,6,10,9,7
2D-художник,2,3,0,2,1,2,3,4,2,3,1,2
3D-дизайнер,8,5,5,7,5,3,6,3,2,0,3,2
Android разработчик,50,39,39,52,43,47,53,42,53,42,43,55
Backend-разработчик,19,15,20,21,18,17,23,19,20,20,24,22
Business Analyst,6,5,6,7,7,5,7,6,9,6,8,9
Copywriter,1,1,1,1,2,1,1,1,3,2,2,3
Data Scientist,45,40,37,49,38,38,53,47,61,60,47,64
DevOps Engineer,77,80,72,89,88,82,101,104,108,110,104,120
Digital Marketing Manager,11,12,7,8,3,6,6,7,5,0,1,2
E-mail маркетолог,6,7,5,7,9,4,8,8,6,8,7,7
Frontend-разработчик,121,108,114,126,134,119,131,119,134,109,128,139
Full-stack разработчик,11,7,11,12,13,13,12,7,8,9,12,8
Game Designer,3,0,0,2,3,0,1,0,0,0,0,0
Golang разработчик,2,2,0,2,5,3,2,2,3,0,0,3
IOS разработчик,46,44,38,49,62,41,51,48,55,44,45,57
IT рекрутер,18,18,18,18,21,17,18,18,20,20,18,20
Java разработчик,12,16,9,14,14,15,16,19,18,14,14,19
Java-разработчик,99,91,89,103,98,83,107,99,113,100,100,117
JavaScript Developer,6,5,5,6,8,7,6,6,9,5,6,9
Junior Project Manager,4,1,1,4,3,3,4,1,2,2,2,2
Motion Designer,3,1,1,3,1,2,4,2,2,5,2,2
PHP-разработчик,79,66,69,76,82,67,73,61,82,52,62,79
PR-менеджер,41,40,45,44,39,38,46,45,55,35,52,58
Product Owner,7,8,3,7,10,12,8,9,9,7,4,10
Product manager,18,17,13,18,15,17,18,18,20,14,14,20
Python-разработчик,49,40,18,50,39,47,52,43,56,37,22,57
React Native Developer,2,3,2,3,4,3,4,4,4,4,4,5
SEO-специалист,37,32,20,32,23,29,27,22,18,6,7,13
SMM-менеджер,208,172,127,197,191,145,187,151,145,129,98,134
Scrum Master,2,3,5,2,3,2,3,3,3,2,6,4
Team Lead,5,2,3,5,2,2,6,3,3,3,4,4
Technical Writer,0,0,0,0,1,0,0,0,0,0,0,0
UI/UX дизайнер,28,38,28,30,26,25,32,41,39,36,33,41
Unity разработчик,4,2,2,4,6,4,4,2,5,3,2,5
Web-программист,222,176,141,211,192,167,199,152,170,125,109,158
Администратор баз данных,8,10,6,9,16,9,10,12,8,16,8,9
Администратор баз данных Oracle,4,2,2,4,3,4,5,2,2,3,3,3
Администратор сайта,2,6,0,1,3,4,0,4,1,0,0,0
Аналитик,120,96,121,126,122,103,131,106,121,113,135,126
Аналитик данных,12,12,18,14,17,14,16,16,18,25,24,21
Аналитик-маркетолог,12,11,12,14,11,7,16,15,15,17,18,17
Арт-менеджер,0,2,0,0,0,0,0,1,2,0,0,2
Бизнес-аналитик 1С,7,4,7,8,4,5,9,6,8,9,9,9
Веб-аналитик,9,8,3,10,6,5,11,10,9,9,6,10
Ведущий аналитик,12,17,15,12,8,15,11,16,12,13,14,11
Ведущий бизнес-аналитик,6,9,9,7,12,7,9,11,12,14,13,14
Видеограф,1,2,5,2,4,2,2,2,4,2,5,4
Видеомонтажер,6,5,5,7,2,5,7,5,5,8,6,5
Видеооператор,5,0,1,3,3,0,1,0,0,0,0,0
Дизайнер презентаций,5,4,1,5,1,3,5,4,3,1,1,3
Дизайнер-визуализатор,3,5,0,3,0,2,2,4,3,6,0,2
Дизайнер-консультант,9,10,8,8,9,7,7,7,5,4,5,4
Дизайнер-проектировщик,2,0,0,2,0,0,1,0,0,0,0,0
Дизайнер-художник,1,2,4,1,2,2,2,3,5,2,5,5
Заместитель технического директора,0,2,0,1,5,1,1,3,3,1,1,3
Инженер АСУ,0,0,0,0,0,0,0,0,0,0,0,0
Инженер АСУТП,3,2,2,3,1,2,4,3,2,2,3,3
Инженер по техническому обслуживанию,0,0,0,0,1,0,0,0,0,0,0,1
Инженер проекта,1,3,2,1,1,0,0,1,0,1,0,0
Инженер связи,2,0,0,2,0,0,2,0,2,3,0,2
Инженер сервисной службы,1,2,1,1,1,1,1,2,1,0,1,0
Инженер технического отдела,0,1,1,0,0,0,0,1,3,4,0,3
Инженер технической поддержки,66,66,64,64,68,63,62,62,59,44,59,57
Инженер-программист,52,47,44,46,35,39,40,35,35,35,28,29
Инженер-программист АСУ ТП,6,2,5,7,9,4,7,3,5,4,5,5
Инженер-программист микроконтроллеров,2,2,0,2,4,0,2,2,3,1,0,3
Инженер-проектировщик ОВ,3,2,1,3,1,2,3,2,1,0,1,1
Инженер-разработчик,4,5,2,5,6,3,5,6,3,6,4,3
Интернет-маркетолог,184,174,140,183,178,131,183,173,174,150,139,174
