Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Системный администратор,26,26,31,26,26,29,26,26,32,34,31,32
Интернет-маркетолог,20,20,21,20,20,12,20,20,15,10,20,14
Frontend-разработчик,19,23,20,20,15,14,22,26,19,15,24,20
Специалист 1С,15,13,12,16,15,11,17,15,18,9,15,19
Тестировщик ПО,15,13,5,15,9,11,14,12,11,14,5,10
Системный аналитик,8,5,3,8,7,6,8,5,7,7,3,7
IOS разработчик,0,2,0,0,0,4,0,0,0,0,0,0
Аналитик,10,9,8,11,7,7,12,11,10,15,10,11
Web-программист,19,16,20,20,16,15,20,17,15,13,21,16
Java-разработчик,13,5,9,13,8,9,13,5,13,6,9,13
Инженер технической поддержки,9,10,12,10,6,9,11,12,13,11,15,14
Разработчик 1С,10,12,5,8,13,9,7,10,6,7,2,5
PHP-разработчик,10,9,5,10,14,6,10,8,12,6,4,11
Инженер-программист,7,6,9,7,6,7,7,6,6,8,9,6
SMM-менеджер,17,11,9,18,7,10,19,13,18,19,12,19
Python-разработчик,1,0,0,0,0,3,0,0,0,0,0,0
Технический директор,1,1,1,1,0,1,0,1,0,0,1,0
Оператор ПК,5,6,2,5,6,5,5,5,4,2,1,4
Android разработчик,6,2,3,5,3,3,4,0,1,0,1,0
Менеджер интернет-магазина,1,2,3,0,0,3,0,0,2,1,1,1
DevOps Engineer,3,5,3,3,4,3,3,5,7,1,3,7
Категорийный менеджер,3,1,4,3,1,4,3,1,1,5,3,1
Product Owner,0,0,0,0,0,1,0,0,0,0,0,0
Инженер сервисной службы,1,0,0,1,0,1,1,0,0,0,0,1
Видеограф,0,1,0,0,0,1,1,1,1,1,1,1
Инженер-программист АСУ ТП,2,1,1,2,2,2,2,1,1,1,2,2
Программист С++,2,2,5,2,0,0,1,1,0,0,4,0
PR-менеджер,0,0,0,0,2,0,0,0,0,0,0,0
SEO-специалист,5,4,1,4,1,1,3,2,0,1,0,0
Product manager,2,1,3,2,1,3,3,2,4,5,4,4
Телемаркетолог,0,3,0,0,0,2,0,3,4,0,0,4
Контент-менеджер,8,4,4,8,11,6,7,4,12,4,3,11
Оператор 1С,8,6,9,9,6,5,10,8,11,8,12,12
Оператор видеонаблюдения,0,0,0,0,0,0,0,0,0,1,0,0
Специалист по защите информации,0,0,0,0,0,1,0,0,1,1,0,0
Инженер-проектировщик ОВ,0,0,0,0,0,1,0,0,0,0,0,1
Руководитель IT проектов,0,0,0,0,0,0,0,0,0,0,0,0
Копирайтер,2,2,3,1,6,2,1,1,2,3,3,2
Инженер связи,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по рекламе,0,2,3,0,0,0,0,0,0,0,1,0
Сервисный инженер,5,6,0,5,3,2,5,6,7,7,0,7
Дизайнер-художник,0,0,0,0,0,0,0,0,0,0,0,0
Оператор базы данных,1,2,1,1,2,0,1,2,3,2,1,3
Дизайнер-консультант,0,0,0,0,0,0,0,0,1,0,0,1
.NET Developer,1,1,1,1,0,1,1,1,2,0,1,2
Ведущий аналитик,0,0,0,0,0,0,0,0,0,0,0,0
Администратор баз данных Oracle,0,0,0,0,0,0,0,0,0,0,0,0
Технический писатель,3,2,1,3,4,3,4,2,4,7,2,5
Технический специалист,3,4,2,4,2,2,5,5,5,3,4,5
Data Scientist,0,1,2,0,3,1,0,1,0,0,2,0
UI/UX дизайнер,2,1,1,2,3,1,2,1,2,1,1,2
Unity разработчик,0,1,1,0,0,0,0,1,0,0,1,0
Game Designer,0,0,0,0,0,0,0,0,0,0,0,0
Администратор баз данных,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по сбору информации,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по информационной безопасности,2,3,0,2,3,2,2,3,3,6,1,3
Ведущий бизнес-аналитик,0,0,0,0,0,0,0,0,0,0,0,0
Трейд-маркетолог,1,2,2,2,3,1,2,3,2,2,3,3
Учитель информатики,0,0,1,0,0,0,0,0,0,0,0,0
Фотограф-дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Программист-стажер,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик BI,0,0,0,0,0,1,0,0,0,0,0,0
Разработчик Oracle,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик баз данных,0,0,0,0,0,0,0,0,0,0,0,0
Технический менеджер,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик мобильных приложений,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по IT,5,5,4,6,7,3,7,6,10,5,6,10
Технический дизайнер,1,2,2,2,2,1,2,3,3,4,4,4
Старший аналитик,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель сервисной службы,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по внедрению и сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Специалист сервисного центра,0,0,0,0,2,0,0,1,0,0,0,0
Руководитель технического отдела,0,0,0,0,1,0,0,0,0,0,0,0
Специалист по тестированию ПО,0,0,0,0,1,0,0,0,1,0,0,1
Сервис-инженер,0,0,0,0,0,0,0,0,0,0,0,0
Сервис-менеджер,0,0,0,0,0,0,0,0,0,0,0,0
Сервисный консультант,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по обработке данных,0,0,0,0,0,0,0,0,0,0,0,0
Программист SQL,1,0,0,1,0,0,1,0,0,1,0,0
Специалист технического отдела,0,0,0,0,0,0,0,0,0,0,0,0
Инженер-разработчик,0,0,0,0,0,0,0,0,0,0,0,0
Программист C Sharp,0,0,0,0,0,0,0,0,0,0,0,0
Преподаватель робототехники,1,1,0,1,0,0,1,1,2,1,1,2
Аналитик-маркетолог,0,0,0,0,0,0,1,0,0,0,0,0
Аналитик данных,0,0,0,0,1,0,0,1,0,0,0,0
Администратор сайта,1,0,0,1,2,0,1,1,1,1,1,1
Scrum Master,0,0,0,1,0,0,1,0,1,2,1,1
React Native Developer,0,0,0,0,0,0,0,0,0,0,0,0
Motion Designer,0,0,0,0,1,0,0,1,1,0,0,1
Junior Project Manager,0,0,0,0,0,0,0,0,0,0,0,0
JavaScript Developer,1,0,1,1,0,0,1,0,0,0,1,0
Java разработчик,0,0,0,0,0,0,0,0,0,0,0,0
IT рекрутер,1,3,2,1,4,1,2,3,3,3,3,4
Golang разработчик,0,0,0,0,0,0,0,0,0,0,0,0
