Profession,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
.NET Developer,1,2,2,1,5,1,0,1,0,0,0,0
2D-художник,1,3,0,1,4,2,1,4,2,2,0,2
3D-дизайнер,1,0,0,0,0,0,0,0,0,0,0,0
Android разработчик,22,23,17,23,24,18,23,24,26,26,19,26
Backend-разработчик,3,4,3,3,7,6,3,4,3,2,3,3
Business Analyst,0,1,0,0,0,0,0,0,0,1,0,0
Copywriter,0,1,0,0,0,0,0,1,0,0,0,0
Data Scientist,12,7,9,12,12,9,13,7,9,10,9,9
DevOps Engineer,26,25,21,28,25,21,30,28,36,34,26,38
Digital Marketing Manager,6,0,1,5,0,0,4,0,0,0,0,0
E-mail маркетолог,3,1,1,3,0,2,3,1,0,0,1,0
Frontend-разработчик,55,53,45,59,66,48,63,61,60,61,56,64
Full-stack разработчик,3,2,1,4,3,4,4,3,6,10,3,7
Game Designer,5,5,6,5,8,4,6,7,6,6,8,7
Golang разработчик,1,0,0,1,1,0,1,0,1,1,1,1
IOS разработчик,20,17,14,20,20,20,20,18,20,11,15,20
IT рекрутер,10,12,12,12,13,14,14,15,15,20,16,17
Java разработчик,5,6,5,6,4,6,7,8,6,7,7,7
Java-разработчик,57,57,49,63,69,40,68,68,69,61,64,75
JavaScript Developer,4,3,1,3,1,1,3,2,2,3,1,2
Junior Project Manager,0,0,0,0,1,2,0,0,0,1,0,0
Motion Designer,3,3,3,3,4,3,4,5,5,6,4,5
PHP-разработчик,36,29,20,36,44,27,35,28,35,36,19,34
PR-менеджер,4,4,0,3,1,1,1,1,0,0,0,0
Product Owner,6,0,0,6,1,2,6,0,1,0,0,1
Product manager,5,6,4,6,6,6,7,8,10,6,6,11
Python-разработчик,19,19,14,20,17,13,22,22,15,24,18,16
React Native Developer,2,2,1,3,3,2,3,3,4,4,3,5
SEO-специалист,15,12,5,11,0,10,6,3,1,0,0,0
SMM-менеджер,68,63,58,66,55,61,64,59,59,39,52,57
Scrum Master,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead,4,5,4,5,3,3,6,7,5,6,7,7
Technical Writer,2,3,3,3,2,2,3,4,3,4,5,4
UI/UX дизайнер,19,18,12,21,20,13,23,23,24,25,19,26
Unity разработчик,2,1,1,2,2,0,2,1,0,3,1,0
Web-программист,79,89,73,74,69,55,68,78,67,50,57,61
Администратор баз данных,2,0,0,2,2,0,2,0,0,0,0,0
Администратор баз данных Oracle,0,0,0,0,0,0,0,0,0,0,0,0
Администратор сайта,0,1,1,0,0,0,0,1,1,0,0,1
Аналитик,13,15,13,12,19,13,11,13,9,2,10,8
Аналитик данных,1,3,1,2,2,4,2,4,3,3,2,3
Аналитик-маркетолог,0,0,0,0,2,1,0,0,2,0,0,2
Арт-менеджер,0,0,0,0,2,0,0,0,0,0,0,0
Бизнес-аналитик 1С,0,0,1,1,0,0,1,1,2,0,1,2
Веб-аналитик,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий аналитик,3,1,0,3,5,0,3,2,2,1,1,3
Ведущий бизнес-аналитик,0,1,0,0,1,0,0,1,0,0,0,0
Видеограф,0,0,0,0,2,0,0,1,1,0,0,2
Видеомонтажер,3,3,4,4,2,1,4,4,6,7,6,6
Видеооператор,4,3,1,4,2,0,4,3,2,1,1,2
Дизайнер-визуализатор,0,0,2,0,0,0,0,0,0,0,1,0
Дизайнер-консультант,12,8,8,13,9,10,14,10,14,13,11,15
Дизайнер-проектировщик,1,2,0,1,0,1,2,2,1,2,1,1
Дизайнер-художник,1,0,0,1,1,0,1,0,0,0,0,0
Заместитель технического директора,0,0,0,0,1,0,0,0,1,0,0,1
Инженер АСУ,0,0,0,0,0,0,0,0,0,0,0,0
Инженер АСУТП,0,1,1,0,0,2,1,1,1,2,2,1
Инженер по техническому обслуживанию,0,0,0,0,1,0,0,0,0,0,0,0
Инженер проекта,2,2,0,2,4,0,1,2,0,0,0,0
Инженер связи,1,2,2,2,3,1,2,3,4,4,4,5
Инженер сервисной службы,0,0,0,0,0,0,0,0,0,0,0,0
Инженер технического отдела,0,0,0,0,1,0,0,0,0,0,0,0
Инженер технической поддержки,27,24,25,27,31,22,26,24,22,23,24,22
Инженер-программист,23,22,11,19,19,17,15,14,8,12,0,4
Инженер-программист АСУ ТП,2,5,4,2,6,3,3,6,6,5,5,7
Инженер-программист микроконтроллеров,2,0,1,2,1,1,2,0,2,0,0,2
Инженер-проектировщик ОВ,0,0,3,0,2,0,0,0,0,3,3,0
Инженер-разработчик,0,1,1,0,3,0,0,0,0,0,0,0
Интернет-маркетолог,92,72,61,89,49,66,87,67,61,47,55,59
Категорийный менеджер,7,6,4,7,7,4,7,6,5,2,3,5
Комьюнити-менеджер,1,0,2,1,0,1,1,1,0,0,2,1
Консультант SAP,0,0,0,0,0,0,0,0,0,1,0,0
Контент-менеджер,54,55,46,56,51,38,57,59,52,52,51,54
Копирайтер,11,14,8,10,7,8,9,11,6,4,4,5
Креативный дизайнер,1,2,1,1,0,0,0,1,0,0,0,0
Курьер в интернет-магазин,0,0,0,0,0,0,0,0,0,0,0,0
Макетчик,1,1,1,2,1,0,2,2,2,2,2,2
Мастер по ремонту компьютеров,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер интернет проектов,2,3,1,1,1,3,0,1,0,0,0,0
Менеджер интернет-магазина,34,31,26,30,38,21,26,23,24,11,16,20
Менеджер по продажам IT услуг,0,3,0,0,0,2,0,2,0,0,0,0
Менеджер по рекламе,14,12,10,14,6,7,14,12,11,9,10,11
Младший аналитик,0,0,1,0,0,0,0,0,0,2,1,0
Моушн-дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Оператор 1С,31,26,29,34,28,21,37,32,35,34,38,39
Оператор ПК,35,26,25,36,40,31,38,29,32,35,29,34
Оператор базы данных,2,0,2,1,2,0,1,0,0,1,0,0
Оператор видеонаблюдения,5,3,6,6,4,3,6,5,8,9,8,9
Оператор связи,0,0,0,0,0,0,0,1,0,0,0,1
Оператор цифровой печати,0,0,0,0,1,1,0,0,0,0,0,0
Преподаватель информатики,0,0,0,0,0,0,0,1,1,0,0,1
Преподаватель робототехники,0,1,0,0,5,1,0,1,1,1,0,1
Программист C Sharp,0,1,1,0,1,0,1,2,1,1,2,1
Программист Delphi,1,2,1,2,2,1,2,2,4,4,2,4
Программист SQL,1,0,0,1,3,1,0,0,2,0,0,1
Программист С++,5,10,9,5,9,5,5,9,11,8,8,10
Программист-стажер,0,0,0,1,0,0,1,0,0,2,1,1
Разработчик 1С,30,26,26,23,17,19,17,13,0,5,8,0
Разработчик BI,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик Oracle,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик баз данных,0,0,0,0,3,2,0,0,1,1,0,1
Разработчик мобильных приложений,0,0,0,0,0,0,0,0,0,2,0,0
Руководитель IT проектов,2,3,2,2,7,2,3,4,5,7,3,5
Руководитель сервисной службы,1,1,2,1,0,0,1,1,2,2,3,2
Руководитель технического отдела,2,2,1,2,1,1,3,3,4,4,2,4
Сервис-инженер,1,0,0,0,2,0,0,0,0,0,0,0
Сервис-менеджер,4,2,2,4,2,1,4,2,3,3,3,3
Сервисный инженер,26,23,19,28,25,17,30,27,27,23,25,29
Системный администратор,136,132,133,141,136,108,145,141,139,118,145,144
Системный аналитик,19,24,19,22,25,26,25,30,28,29,27,31
Специалист 1С,36,33,21,36,35,24,37,34,34,28,22,35
Специалист по IT,18,20,16,21,20,15,24,26,29,27,24,32
Специалист по внедрению и сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по защите информации,0,0,0,0,1,1,0,0,0,3,0,0
Специалист по информационной безопасности,2,5,4,1,5,7,0,4,9,5,2,8
Специалист по контекстной рекламе / Директолог,0,1,1,0,4,1,0,1,0,2,1,0
Специалист по обработке данных,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по сбору информации,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по сопровождению ПО,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по тестированию ПО,0,0,2,0,0,1,0,0,0,0,1,0
Специалист сервисного центра,0,0,0,0,0,0,0,0,0,0,0,0
Специалист технического отдела,1,1,2,1,1,2,2,1,3,1,2,3
Старший аналитик,2,1,1,2,1,0,3,2,2,3,2,2
Телемаркетолог,3,3,0,2,0,1,0,0,0,0,0,0
Тестировщик ПО,72,68,58,79,77,60,86,82,78,83,77,85
Технический дизайнер,1,1,0,1,0,1,1,1,2,0,0,2
Технический директор,4,6,6,5,8,5,5,6,10,3,7,10
Технический менеджер,0,0,0,0,1,0,0,0,0,1,0,0
Технический писатель,14,10,12,13,17,6,13,9,6,5,10,5
Технический специалист,8,8,7,9,9,5,10,10,11,12,9,12
Технический эксперт,0,0,0,0,0,0,0,0,0,0,0,0
Трейд-маркетолог,2,3,2,2,2,1,2,3,2,0,2,2
Учитель информатики,4,1,7,4,5,2,5,3,4,4,8,4
Фотограф-дизайнер,0,0,0,0,0,0,0,0,0,0,0,0
Художник-дизайнер,2,0,0,2,0,0,2,0,0,1,0,0
