Специальность,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Системный администратор,1223,1167,1132,1150,985,1069,1195,1167,1193,1343,1261,986
Web-программист,908,840,840,894,763,759,830,852,890,920,766,531
SMM-менеджер,721,597,607,621,546,508,580,595,612,664,595,436
Интернет-маркетолог,626,571,600,523,492,491,545,525,531,671,541,375
Разработчик 1С,493,478,486,470,415,395,448,422,465,475,441,308
Инженер-программист,475,420,411,393,397,332,375,384,375,396,384,301
Тестировщик ПО,312,306,307,302,306,286,351,330,312,405,358,280
Frontend-разработчик,284,290,277,284,255,267,321,322,300,353,316,262
Специалист 1С,322,321,307,338,337,319,382,340,328,367,330,233
Контент-менеджер,350,381,361,342,312,306,356,350,344,374,338,224
Оператор ПК,241,291,250,334,316,299,300,359,292,318,244,209
Инженер технической поддержки,239,228,222,226,211,236,247,242,237,241,240,197
Java-разработчик,248,253,236,258,211,192,278,252,252,296,269,179
Менеджер интернет-магазина,300,271,275,261,254,251,308,306,293,286,280,177
Аналитик,217,201,197,225,207,224,254,229,260,253,231,167
PHP-разработчик,353,300,280,339,278,246,305,297,294,290,260,163
Оператор 1С,153,129,159,176,174,196,216,211,170,198,194,149
Системный аналитик,128,107,128,150,166,132,174,163,167,195,189,147
Специалист по IT,202,185,196,190,176,194,191,169,187,210,197,128
Сервисный инженер,186,159,165,163,169,145,203,186,170,209,189,127
SEO-специалист,240,202,184,164,152,126,165,166,186,167,143,114
IOS разработчик,116,109,96,117,96,99,116,142,134,111,111,95
Категорийный менеджер,125,111,103,118,98,100,117,120,104,122,101,92
Android разработчик,139,124,116,112,112,117,150,119,133,163,122,88
Python-разработчик,93,79,95,91,67,67,113,95,108,138,105,82
Менеджер по рекламе,130,113,109,129,118,115,94,103,104,124,109,80
DevOps Engineer,78,92,106,103,103,84,144,110,124,157,138,79
Специалист по информационной безопасности,91,97,86,96,77,73,102,91,88,104,91,75
Копирайтер,152,115,140,139,126,118,129,142,152,140,133,73
Технический писатель,65,60,74,70,56,74,71,86,72,98,85,61
Технический директор,68,66,63,69,53,54,68,65,63,73,66,56
Дизайнер-консультант,80,62,84,77,83,77,74,77,71,74,51,53
Технический специалист,77,70,74,66,61,59,81,78,74,78,68,53
UI/UX дизайнер,72,79,74,81,71,64,74,60,60,95,88,51
PR-менеджер,76,69,71,96,50,70,77,77,88,80,70,49
Data Scientist,59,57,58,63,62,56,76,63,60,85,63,47
Оператор базы данных,80,66,84,59,76,67,73,86,54,89,44,45
IT рекрутер,36,42,48,44,42,39,43,56,53,47,48,45
Оператор видеонаблюдения,44,39,46,52,63,44,60,49,53,47,48,43
Backend-разработчик,41,46,36,31,36,45,39,44,50,55,50,39
Программист SQL,40,33,45,41,31,27,36,46,36,44,29,39
Телемаркетолог,83,77,61,77,60,45,57,71,57,53,52,38
Программист С++,59,61,60,58,50,61,69,59,51,53,63,33
Руководитель IT проектов,45,33,23,31,25,31,41,32,30,48,35,28
Сервис-менеджер,32,32,35,33,36,29,34,27,27,34,28,27
Менеджер интернет проектов,52,50,48,42,42,37,41,43,49,41,34,26
.NET Developer,33,34,42,37,33,30,28,25,36,39,37,25
Full-stack разработчик,30,15,16,17,28,21,32,28,25,35,27,23
Java разработчик,22,31,30,19,13,14,17,14,25,24,27,23
Ведущий аналитик,21,30,28,26,29,25,25,20,26,26,26,22
Инженер-программист АСУ ТП,28,20,19,24,19,17,19,27,30,34,36,22
Трейд-маркетолог,39,45,40,36,32,51,42,33,41,42,37,22
