,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
Системный администратор,1352,1267,1275,1269,1096,1180,1297,1278,1186,1436,1350,1214
Web-программист,836,726,716,754,640,636,723,728,602,744,634,571
SMM-менеджер,645,545,539,534,470,432,515,519,458,589,488,439
Интернет-маркетолог,630,549,547,508,462,461,501,495,427,608,527,420
Разработчик 1С,439,417,411,397,344,324,379,351,324,387,364,307
Инженер-программист,383,345,338,311,314,249,290,301,265,321,282,244
Тестировщик ПО,414,388,395,404,395,375,427,419,374,481,455,396
Frontend-разработчик,355,337,342,354,314,326,369,381,333,400,382,348
Специалист 1С,360,337,339,382,362,344,388,365,302,379,357,309
Контент-менеджер,342,337,335,322,281,275,314,319,257,320,315,249
Оператор ПК,279,261,261,317,316,299,317,359,250,279,261,250
Инженер технической поддержки,244,235,236,243,218,243,245,249,223,250,241,225
Java-разработчик,292,276,278,296,243,224,304,284,243,316,300,252
Менеджер интернет-магазина,283,264,263,271,239,236,267,291,222,272,253,218
Аналитик,253,231,233,265,236,253,273,258,239,276,253,247
PHP-разработчик,267,217,211,246,192,160,225,211,153,203,153,131
Оператор 1С,215,207,212,252,238,260,268,275,215,264,255,232
Системный аналитик,216,205,211,239,254,220,261,251,234,282,271,256
Специалист по IT,205,191,191,189,174,192,189,167,156,204,191,156
Сервисный инженер,216,193,195,210,200,176,218,217,175,240,216,183
SEO-специалист,147,111,104,86,63,37,64,76,71,81,45,49
IOS разработчик,110,101,101,112,91,94,111,137,110,106,98,109
Категорийный менеджер,114,94,92,102,80,80,96,97,77,97,76,71
Android разработчик,159,129,130,142,124,129,145,131,121,168,139,124
Python-разработчик,138,120,122,134,104,104,143,132,127,166,148,137
Менеджер по рекламе,117,98,97,97,102,99,93,87,78,105,87,74
DevOps Engineer,161,162,168,185,173,154,202,180,163,214,215,180
Специалист по информационной безопасности,100,94,95,103,81,77,104,95,85,104,98,86
Копирайтер,135,116,115,118,108,100,114,124,97,122,103,93
Технический писатель,99,94,96,96,85,103,103,115,92,122,116,99
Технический директор,71,66,66,70,55,56,70,67,61,73,68,61
Дизайнер-консультант,63,50,48,57,61,55,51,55,43,47,34,38
Технический специалист,75,68,68,70,57,55,70,74,60,73,66,60
UI/UX дизайнер,94,92,94,92,88,81,96,77,70,107,105,74
PR-менеджер,72,63,63,79,41,61,77,68,61,66,57,59
Data Scientist,83,72,73,85,80,74,89,81,69,96,85,73
Оператор базы данных,75,54,52,53,61,52,49,71,36,64,43,33
IT рекрутер,45,50,51,49,48,45,51,62,54,50,55,56
